gene,protein,r1,r2,p1,p2,Class.pr
CAF4,SSA1,-0.15480625,-0.00673274423487835,0.859379,0.990435562167098,No effect
CAF4,TDH1,0.01829233,-0.144000887279567,0.994688,0.620637736700118,No effect
CAF4,TDH2,-0.1138073,-0.0627546576083718,0.929381,0.90838836572316,No effect
CAF4,TDH3,-0.038019653,-0.00686072047036235,0.981568,0.990686847823902,No effect
CAF4,YHB1,0.13777892,0.016817782329737,0.750678,0.98156652179595,No effect
BAS1,ENO2,-0.20068221,-0.0866401952624048,0.293056,0.790644080916956,No effect
BAS1,FAS1,-0.073488895,0.74578026797523,0.438309,0.00117329799151588,Study 2 only
BAS1,FAS2,0.1025372,0.10910316820773901,0.187391,0.760178999306437,No effect
BAS1,HTB2,-0.060245346,0.389047255438391,0.502727,0.217408731178951,No effect
BAS1,RNR2,-0.11137714,0.156210127211578,0.155614,0.363918671927735,No effect
BAS1,SSA1,0.17454704,-0.712751784185181,0.35512,1.14034172812581e-4,Study 2 only
BAS1,TDH1,-0.2571349,-0.221205178924726,0.156684,0.357153935774503,No effect
BAS1,TDH2,-0.20696812,0.440065070310926,0.337039,0.105324792258048,No effect
BAS1,TDH3,-0.27354367,0.195448484936239,0.172886,0.555143552550329,No effect
BAS1,YHB1,0.32578935,0.629442380540438,0.0247184,0.0259468068649309,Study 2 only
SIR1,ENO2,0.22528727,-0.103214372982336,0.38824,0.735068185759128,No effect
SIR1,FAS1,-0.11390566,0.0398031721680157,0.318136,0.946858369577983,No effect
SIR1,FAS2,-0.010993276,-0.0158270399635159,0.946703,0.974760198206244,No effect
SIR1,HTB2,-0.069971223,-0.0320726161885176,0.558496,0.96010294798386,No effect
SIR1,RNR2,0.057401748,0.0083069579479087,0.663573,0.98016301723375,No effect
SIR1,SSA1,0.040976571,0.0126901655213087,0.912365,0.981230373069111,No effect
SIR1,TDH1,-0.025787895,0.063951824935813,0.946703,0.864005716325455,No effect
SIR1,TDH2,-0.030921363,0.110912466299224,0.942627,0.813717747181666,No effect
SIR1,TDH3,0.34741621,0.128123593516225,0.168287,0.739715941624624,No effect
SIR1,YHB1,0.25860334,-0.00205613592663328,0.197213,0.997821965061906,No effect
PPR1,ENO2,0.091923202,0.28048672961202,0.999427,0.162690206845459,No effect
PPR1,FAS1,0.12783135,0.0104056771638758,0.468534,0.98737300351313,No effect
PPR1,FAS2,0.063199185,-0.117984278731446,0.967294,0.733732256026885,No effect
