eHS.ID,eHS.name,eHS.genes,eHS.targetn,eHS.strVar,eHS.medVar,eHS.BE.sig.prots,eHS.BE.sig.n,Max_FDR0.05_count,Candidates,ImpactVarInCand,Cat,Label,PlotLabel,eHS.sig.prots
44,NA,YGR228W;SMI1;BNS1;PHB2;NAS6;PHO81;YHB1;MIC26;SPG1;YGR237C;KEL2;PEX21;PFK1;YGR240C-A;YAP1802,178,NA,SMI1;BNS1;NAS6;PHO81;YHB1;KEL2;PEX21;YAP1802,TDH2;YHB1,2,1,NA,0,NA,NA,NA,YHB1
45,GPA1,LAG1;YHL002C-A;HSE1;RPL14B;OSH7;QCR10;LEU5;TCD1;NEM1;GPA1,714,NA,LAG1;HSE1;LEU5;NEM1;GPA1,NA,0,NA,NA,0,Known,GPA1,GPA1,HTB2;RNR2;TDH1
46,ERC1,SLT2;RRM3;ERC1;YHR032W-A;YHR032C-A;YHR033W,369,ERC1,SLT2;RRM3;ERC1,NA,0,NA,NA,0,Known,ERC1,ERC1,NA
47,STB5,STB5,114,NA,STB5,TDH1;TDH2,2,2,NA,0,Known,STB5,STB5,NA
48,NA,YIL168W;SDL1;YIL166C;YIL165C,20,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
49,NA,ASG1;TAO3;MET18;RRT14;STH1;KGD1;AYR1;SIM1;POG1;QDR2,475,SIM1;QDR2,ASG1;TAO3;MET18;RRT14;STH1;KGD1;AYR1;POG1;QDR2,ENO2;RPL9A;TDH1,3,2,NA,0,NA,NA,NA,NA
50,NA,XBP1;YIL100C-A;YIL100W;SGA1,151,NA,XBP1;SGA1,NA,0,NA,NA,0,NA,NA,NA,NA
51,NA,SER33;SPO22;HOP1;YIL071W-A;PCI8;MAM33;RPS24B;YIL068W-A;SEC6;YIL067C;YIL066W-A;RNR3,119,NA,SER33;SPO22;HOP1;RNR3,NA,0,NA,NA,0,NA,NA,NA,NA
52,NA,YIR016W;MET28;YIR017W-A;YAP5;YIR018C-A,26,NA,MET28,NA,0,NA,NA,0,NA,NA,NA,NA
53,NA,IMA5;YJL215C;HXT8,27,IMA5;HXT8,IMA5;HXT8,NA,0,NA,NA,0,NA,NA,NA,NA
54,NA,SET2;ERG20;QCR8;HAL5;TPK1;YJL163C;JJJ2;tE(UUC)J;FMP33;YJL160C;HSP150;CIS3,228,NA,SET2;HAL5;TPK1;JJJ2;HSP150;CIS3,FAS1;FAS2;HTB2;RNR2;RPL9A;TDH1;TDH2;TDH3;YHB1,9,9,ERG20,0,New,ERG20,ERG20,NA
55,NA,YJL127C-B;SPT10;NIT2;GCD14;LSM1;MTC1;ALB1;RPE1;YJL120W;YJL119C;YJL118W;PHO86,258,MTC1,SPT10;NIT2;GCD14;MTC1;ALB1,ENO2;FAS1;HTB2;RNR2;SSA1;TDH1,6,4,SPT10;GCD14,2,New,SPT10;GCD14,"SPT10
GCD14",RNR2
56,NA,IKS1;ZAP1;YJL055W,211,IKS1,IKS1;ZAP1,NA,0,NA,NA,0,NA,NA,NA,SSA1
57,NA,tW(CCA)J;NOP9;YJL009W;CCT8;YJL007C;EMT3;CTK2;SUP51;CYR1;SYS1;COX16;OST1;PRE3;AVT1;MPP10;YJR003C;SAG1;APL1;LSO1;POL31;SUI2;MHO1;TDH2;MET3,261,NA,NOP9;CTK2;CYR1;SYS1;OST1;MPP10;APL1;POL31;MHO1,FAS1;HTB2;RNR2;RPL9A;SSA1;TDH1;TDH2;YHB1,8,5,CTK2;CYR1;SUI2,2,New,CTK2;CYR1;SUI2,"CTK2
CYR1
SUI2",TDH2
58,NA,PTK2;CBF1,247,NA,PTK2;CBF1,TDH2,1,1,NA,0,NA,NA,NA,NA
59,NA,VPS70;RSF2,613,VPS70,VPS70;RSF2,NA,0,NA,NA,0,NA,NA,NA,ENO2;HTB2
60,NA,DAL5;PGU1;YJR154W,59,NA,PGU1,NA,0,NA,NA,0,NA,NA,NA,NA
61,NA,YKL222C;MCH2;FRE2;COS9,16,NA,MCH2;FRE2;COS9,NA,0,NA,NA,0,NA,NA,NA,NA
62,NA,FAS1;PRS1;RPL17A,206,NA,FAS1,ENO2;FAS1;FAS2;HTB2;RPL9A;TDH3;YHB1,7,4,FAS1;PRS1,1,New,FAS1;PRS1,"FAS1
PRS1",TDH2
63,NA,ABF1;YKL111C;KTI12;HAP4,681,NA,ABF1;KTI12;HAP4,NA,0,NA,NA,0,NA,NA,NA,RNR2;TDH2;YHB1
