ORF,Name,YEPD_mean,YEPD_error,YEPD_cv,YEPD_dm,YEPD_note,SD_mean,SD_error,SD_cv,SD_dm,SD_note
YMR308C,PSE1,463.5,29.89201066,15.53,-1.28231708,,319.5,29.02304633,14.855,0.195843301,
YMR309C,NIP1,3167.5,117.3934922,12.535,-0.882647164,,1849.5,83.03901999,11.77,-0.879733191,
YMR310C,,,,,,Abundance Low,,,,,Abundance Low
YMR311C,GLC8,372.5,27.6092587,17.015,-0.484317865,,387.5,31.37139121,13.125,-1.117627576,
YMR313C,TGL3,55.5,21.46863591,,,,78,22.96050679,18.005,0.047018229,
YMR314W,PRE5,1667,66.96688698,10.85,-3.35530366,,,,,,Failed QC
YMR315W,,91.5,21.97899455,29.73,5.15699023,,469,33.89096502,19.18,5.139823238,
YMR318C,ADH6,564,32.56432026,22.235,5.833517369,,507,35.14505583,18.83,4.95381152,
YMR319C,FET4,146,22.64840604,26.245,4.49483483,,,,,,Abundance Low
YNL001W,DOM34,376,27.70175043,16.395,-0.997328971,,296.5,28.63363388,14.085,-0.616111111,
YNL003C,PET8,,,,,Abundance Low,97.5,22.54076602,,,
YNL004W,HRB1,145,22.84144422,20.02,-1.271339851,,208,25.35054035,16.92,1.003845326,
YNL005C,MRP7,272,25.31782151,17.545,-1.027598966,,,,,,Failed QC
YNL006W,LST8,,,,,Abundance Low,64.5,22.93659406,16.655,-1.362346534,
YNL007C,SIS1,1694,67.80844321,14.365,0.150229678,,1391,66.38530627,10.895,-1.966055183,
YNL008C,ASI3,,,,,Abundance Low,,,,,Abundance Low
YNL010W,,617.5,34.09296206,14.83,-1.297458493,,446,33.36586603,12.535,-1.542687241,
YNL015W,PBI2,372.5,27.35802687,29.325,11.58894778,,418.7036995,31.18007643,24.225,9.982372424,
YNL016W,PUB1,1866.5,73.52265512,11.45,-2.597374545,,1396,67.25498332,10.82,-2.033697241,
YNL020C,ARK1,,,,,Abundance Low,,,,,Abundance Low
YNL021W,HDA1,50,21.39695086,,,,,,,,Abundance Low
YNL022C,,,,,,Abundance Low,,,,,Abundance Low
YNL024C,,,,,,Abundance Low,,,,,Abundance Low
YNL025C,SSN8,,,,,Abundance Low,,,,,Abundance Low
YNL027W,CRZ1,74.5,21.73065939,24.145,-1.568851609,,114.5,23.73185033,17.4,0.496363636,
YNL030W,HHF2,7457.5,264.2067058,,,,6484.558929,261.6430252,,,
YNL031C,HHT2,,,,,Abundance Low,139,23.7730835,16.645,-0.294071348,
YNL032W,SIW14,,,,,Abundance Low,65,22.92937769,17.565,-0.597222222,
YNL035C,,75,21.74472955,,,,75,23.13273776,15.83,-2.187346534,
YNL036W,NCE103,78.5,21.79087656,24.23,-0.946776551,,221.5,25.58339866,18.245,2.621587296,
YNL037C,IDH1,342,26.8929327,24.19,6.238532425,,980,51.94926895,12.77,-0.39583214,
YNL039W,BDP1,59,21.5210495,,,,,,,,Abundance Low
YNL040W,,63,21.57401217,27.51,1.012570719,,50,22.62509594,,,
YNL041C,COG6,118.5,22.40041921,24.235,1.745007707,,125,23.97846215,16.655,-0.04907146,
YNL042W,BOP3,,,,,Abundance Low,,,,,Abundance Low
YNL044W,YIP3,1031.5,46.03180524,12.57,-2.457513341,,825.5,44.1333726,11.755,-1.660610371,
YNL045W,,114,22.33391236,31.7,8.986239737,,228,26.45718729,19.985,4.744335107,
YNL046W,,,,,,Abundance Low,,,18.715,0.107247546,Abundance Low
YNL048W,ALG11,121.5,22.24827396,24.53,1.236845625,,105,31.56098117,,,
YNL049C,SFB2,145,22.63409502,21.145,-0.60516517,,119.5,23.38834726,16.72,-0.962912617,
YNL051W,COG5,63.5,21.58352116,23.42,-3.077429281,,93.5,22.77751651,,,
YNL052W,COX5A,253.5,24.66918569,21.65,2.738852725,,293.5,27.16560475,17.14,2.036318018,
YNL053W,MSG5,,,,,Abundance Low,,,,,Abundance Low
YNL055C,POR1,841,40.22038662,31.33,15.86772268,,641.5,37.80196025,,,
YNL056W,,103,22.15426741,22.335,-1.078896372,,,,,,Abundance Low
YNL058C,,101,22.14437142,31.015,8.500794883,,,,,,Abundance Low
YNL059C,ARP5,92.5,21.99394848,22.005,-1.931249946,,62,22.56135008,,,
YNL061W,NOP2,614.5,33.96908028,17.215,1.178492015,,373.5,30.39379389,15.21,0.792834232,
YNL062C,GCD10,,,,,Failed QC,90,23.41907873,16.855,-0.508755912,
YNL063W,,,,,,Abundance Low,,,,,Abundance Low
YNL064C,YDJ1,4196.5,152.5384803,12.605,-0.561222808,,2413,103.6120625,11.9,-0.599550071,
YNL065W,AQR1,108,22.04345145,27.94,4.764036243,,70,22.1309411,,,
YNL066W,SUN4,191,23.67328602,19.855,-0.236145875,,102,23.69138812,16.02,-1.119980999,
YNL067W,RPL9B,20074.5,699.5309456,12.205,0.038743387,,15258.21423,605.4668101,11.73,-4.64E-06,
YNL068C,FKH2,,,,,Abundance Low,,,,,Abundance Low
YNL070W,TOM7,74.5,21.73060458,29.15,4.019116698,,100.5,22.65508628,,,
YNL071W,LAT1,216,24.15806482,23.185,3.917751781,,193.5,25.49090265,16.645,1.11100043,
YNL072W,RNH201,,,,,Abundance Low,,,,,Abundance Low
YNL073W,MSK1,,,,,Abundance Low,84.5,23.07906539,18.61,0.766213208,
YNL074C,MLF3,,,,,Abundance Low,98.5,23.62755497,19.12,2.120362963,
YNL076W,MKS1,,,,,Abundance Low,61,22.66021619,,,
YNL077W,APJ1,,,,,Abundance Low,,,,,Abundance Low
YNL078W,NIS1,65,21.60747518,27.34,0.657340678,,,,,,Abundance Low
YNL081C,SWS2,94,22.03211346,25.755,1.783808933,,,,,,Failed QC
YNL082W,PMS1,,,,,Abundance Low,,,,,Abundance Low
YNL083W,SAL1,,,,,Abundance Low,,,,,Abundance Low
YNL084C,END3,272.5,25.32719483,19.02,0.434190797,,263.5,27.7175258,13.415,-1.525083416,
YNL085W,MKT1,197,23.78924195,21.83,1.930714286,,101.5,23.46927167,18.185,0.936254436,
YNL086W,,,,,,Abundance Low,99.859762,22.58457861,16.15,-0.422387737,
YNL087W,TCB2,367.5,27.50897635,16.545,-0.966558986,,206.4516708,25.1257102,18.205,3.028736333,
YNL088W,TOP2,134.5,22.66570397,21.915,0.337232188,,,,,,Abundance Low
YNL090W,RHO2,133.5,22.44298898,21.66,-0.484707232,,85.5,22.32992927,,,
YNL091W,NST1,97,22.06471978,,,,93,23.18196692,16.54,-1.125754364,
YNL094W,APP1,,,,,Abundance Low,,,,,Abundance Low
YNL095C,,,,,,Abundance Low,,,,,Abundance Low
YNL096C,RPS7B,3956,144.3677582,12.195,-0.999211697,,2876.5,123.4514161,9.745,-2.614754051,
YNL097C,PHO23,,,,,Abundance Low,51,22.65185424,,,
YNL098C,RAS2,879,41.34435263,16.88,1.537877181,,764,41.69068188,,,
YNL099C,OCA1,,,,,Abundance Low,,,,,Abundance Low
YNL100W,,135.5,22.67962737,22.265,0.724392992,,150.5,24.81477572,15.965,-0.095918739,
YNL102W,POL1,63.5,21.58738429,,,,,,,,Failed QC
YNL103W,MET4,87.5,21.91934853,23.32,-0.867124505,,269,27.47229041,14.805,-0.065324086,
YNL104C,LEU4,562,32.50799112,18.04,1.678670796,,1765.5,80.51632554,15.3,2.623921312,
YNL106C,INP52,,,,,Abundance Low,,,,,Abundance Low
YNL107W,YAF9,,,,,Abundance Low,,,,,Abundance Low
YNL108C,,116.5,22.36822236,26.715,4.343754354,,117,24.0710761,17.64,0.956823727,
YNL110C,NOP15,436,29.17938668,15,-1.908972378,,229,26.75297349,15.77,0.688417428,
YNL111C,CYB5,263,24.86644178,19.93,1.107928147,,108.618259,22.76921467,19.3,2.921582604,
YNL112W,DBP2,3123.5,115.914199,15.42,2.006711106,,1713.5,78.06060118,14.645,1.943862432,
YNL113W,RPC19,499.5,30.86443572,17.01,0.379376255,,472.6732985,32.42494425,14.19,0.281361203,
YNL115C,,,,,,Abundance Low,,,,,Abundance Low
YNL116W,DMA2,,,,,Abundance Low,,,,,Abundance Low
YNL118C,DCP2,355.5,27.22486437,15.6,-2.038124973,,358,30.0739824,13.68,-0.716707308,
YNL119W,NCS2,83.5,21.8610111,23.695,-0.918539757,,,,,,Failed QC
YNL121C,TOM70,78,21.78339953,26.355,0.892899068,,227.5,25.56026896,15.585,-0.285722531,
YNL122C,,,,,,Abundance Low,,,,,Abundance Low
YNL123W,,119.5,22.42773691,,,,56.5,22.56531731,,,
YNL124W,NAF1,,,,,Failed QC/Abundance Low,,,,,Abundance Low
YNL125C,ESBP6,,,,,Abundance Low,,,,,Abundance Low
YNL126W,SPC98,,,,,Failed QC,,,,,Failed QC
YNL127W,FAR11,,,,,Abundance Low,,,,,Abundance Low
YNL129W,NRK1,,,,,Abundance Low,,,,,Abundance Low
YNL130C,CPT1,66,21.44259634,,,,107.5,22.75816218,,,
YNL131W,TOM22,,,,,Abundance Low,,,,,Abundance Low
YNL132W,KRE33,370.5,27.56413358,29.61,12.1982787,,258,27.39832623,14.935,-0.068680641,
YNL133C,FYV6,,,,,Abundance Low,,,,,Abundance Low
YNL134C,,,,,,Abundance Low,341,30.0679963,39.255,24.54045806,
YNL135C,FPR1,1425.5,58.600612,12.34,-2.119578743,,1035.123493,51.24805385,11.42,-1.630556973,
YNL136W,EAF7,,,,,Abundance Low,,,,,Abundance Low
YNL137C,NAM9,,,,,Abundance Low,91.5,23.20350299,18.34,0.724909404,
YNL138W,SRV2,319,26.36334317,19.795,1.771944455,,365.5,30.40312818,14.085,-0.299620318,
YNL139C,RLR1,106,22.20534432,23.225,0.020061993,,74.5,23.35944772,18.355,0.235115926,
YNL141W,AAH1,554,32.28879446,19.7,3.41408659,,226,26.77796959,18.965,3.823622667,
YNL142W,MEP2,,,,,Abundance Low,57.5,21.95982028,,,
YNL143C,,272,25.33644714,18.97,0.417081612,,269.070864,26.60595911,14.795,0.080458062,
YNL146W,,49.5,21.23061947,,,,56.04334425,21.81847876,17.3,-0.488830607,
YNL147W,LSM7,459.5,29.79813207,15.055,-1.786073542,,365.3805783,29.22276735,13.605,-0.646384163,
YNL148C,ALF1,53,21.44166578,,,,,,,,Abundance Low
YNL149C,,286,25.36023839,23.765,5.250965553,,227.8667008,25.57268806,,,
YNL152W,,,,,,Abundance Low,,,,,Abundance Low
YNL153C,GIM3,644,34.88584244,14.875,-1.07725885,,803.5820955,43.35577762,11.36,-1.950350232,
YNL154C,YCK2,337.5,26.49342827,17.335,-0.606427376,,277.5,26.86363109,16.06,0.855945927,
YNL155W,,137.5,22.71683706,21.555,0.12349353,,63,22.89587233,18.095,-0.461763935,
YNL156C,NSG2,80.5,21.81792006,26.975,1.798223449,,96.5,23.61735875,16.63,-0.646889726,
YNL157W,,152.5,22.97696563,21.925,0.701588178,,165.3564103,24.02896638,15.87,0.299850668,
YNL158W,,212.5,24.08785554,18.065,-1.553917325,,112.1488953,22.82250614,18.04,1.477351792,
YNL161W,CBK1,,,,,Failed QC/Abundance Low,,,,,No Measurement
YNL162W,RPL42A,2721,102.2848448,12.215,-1.347506519,,2219.5,97.94464908,9.315,-3.19537081,
YNL162W-A,,,,,,Abundance Low,,,,,Abundance Low
YNL163C,RIA1,216.5,24.17345713,18.32,-1.154590448,,174.5,25.15769896,16.725,0.497008009,
YNL164C,IBD2,,,,,Abundance Low,,,,,Abundance Low
YNL166C,BNI5,240,24.64166983,18.09,-1.203396443,,162.5,25.10130329,14.87,-0.944209902,
YNL167C,SKO1,,,,,Abundance Low,,,,,Abundance Low
YNL168C,FMP41,70.5,21.68450784,26.205,0.058755753,,105.5,23.81960794,17.345,0.453029223,
YNL169C,PSD1,,,,,Abundance Low,,,,,Abundance Low
YNL172W,APC1,,,,,Abundance Low,,,,,Abundance Low
YNL173C,MDG1,154.5,22.79116566,25.64,3.85032742,,176,24.1742371,18.155,1.203968364,
YNL175C,NOP13,282.5,25.54193677,19.205,0.82834011,,179.5,25.47886123,14.97,-0.621220743,
YNL176C,,,,,,Abundance Low,,,,,Abundance Low
YNL177C,MRPL22,72.5,21.71492072,24.805,-0.857424426,,126.5,24.27057112,15.68,-0.834738608,
YNL180C,RHO5,110.5,22.0772686,24.325,0.690701407,,158.5,23.81031546,19.47,2.612598176,
YNL181W,,117.5,22.3943559,21.64,-0.548898448,,73,22.61211287,,,
YNL183C,NPR1,83.5,21.86062966,25.55,0.326868958,,193.5,25.61994987,15.545,-0.025149332,
YNL185C,MRPL19,179.5,23.4596559,19.59,-0.644616845,,222.9892458,25.24916389,14.05,-0.992033172,
YNL186W,UBP10,326,26.51751795,17.19,-0.711719182,,183.5,25.32464769,16.225,0.506345486,
YNL189W,SRP1,,,,,Failed QC,,,,,Failed QC
YNL190W,,560,32.47638799,14.97,-1.324360749,,,,,,Failed QC
YNL191W,,155.5,23.0265281,19.9,-1.096176578,,79.5,23.21405185,17.96,0.171169393,
YNL194C,,,,,,Abundance Low,,,,,Abundance Low
YNL197C,WHI3,318,26.33750686,15.93,-2.026504885,,305.5,28.53157703,13.88,-0.771458775,
YNL198C,,,,,,Abundance Low,,,,,Abundance Low
YNL200C,,,,,,Abundance Low,,,,,Abundance Low
YNL201C,PSY2,64.5,21.59063981,24.275,-2.79944985,,82.5,22.96378295,17.855,-0.202808663,
YNL206C,RTT106,95.5,22.04345145,26.27,2.537476422,,,,,,Abundance Low
