Protein	Gene	ProteinName	EntrezID	ProteinCopy	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage
YAL017W	YAL017W	NA	NA	YAL017W	RAS21-WT	0.884271341873208	0.499358002805733	1.7708164020698	12	0.101965019183155	0.252350865209936	NA	0.694444444444444	0.361111111111111
YAL017W	YAL017W	NA	NA	YAL017W	SSY5-WT	0.652498916068033	0.70619886004741	0.923959174933004	12	0.373713775453307	0.549793037671747	NA	0.833333333333333	0.277777777777778
YAL019W	YAL019W	NA	NA	YAL019W	IRA2-WT	-0.800005156904899	0.519223102487851	-1.54077342296921	8	0.16193951499137	0.331765253214897	NA	0.816666666666667	0.4
YAL019W	YAL019W	NA	NA	YAL019W	RAS22-WT	-1.14353629028096	0.519223102487851	-2.20239870838128	8	0.0587736457952244	0.149222067332466	NA	0.833333333333333	0.416666666666667
YAL019W	YAL019W	NA	NA	YAL019W	SAP155-WT	-1.64547590142443	0.656771047056259	-2.50540261907051	8	0.0366323711908378	0.0801996749712455	NA	0.85	0.316666666666667
YAL019W	YAL019W	NA	NA	YAL019W	POP1-WT	-1.06385224830397	0.656771047056259	-1.61982208727425	8	0.143929985712197	0.295341480582701	NA	0.85	0.316666666666667
YAL019W	YAL019W	NA	NA	YAL019W	SSY5-WT	-0.220357612593857	0.656771047056259	-0.335516636400966	8	0.745864686286125	0.844370139308672	NA	0.833333333333333	0.3
YAL019W	YAL019W	NA	NA	YAL019W	RAS21-WT	-1.0998536549126	0.46440726106047	-2.36829556110104	8	0.0453669543861048	0.146104858228071	NA	0.816666666666667	0.516666666666667
YAL019W	YAL019W	NA	NA	YAL019W	SIT4-WT	-1.33264273924863	0.46440726106047	-2.86955620850017	8	0.0208431313857957	0.0787912841468873	NA	0.816666666666667	0.516666666666667
YAL021C	YAL021C	NA	NA	YAL021C	SAP155-WT	-0.695368878963274	0.444609274452782	-1.56399994088995	10	0.148883597957964	0.245464976987994	NA	0.888888888888889	0.444444444444444
YAL021C	YAL021C	NA	NA	YAL021C	POP1-WT	-0.904727174776519	0.351494494026426	-2.57394408775148	10	0.0277026091404837	0.0947680728093302	NA	0.875	0.569444444444444
YAL021C	YAL021C	NA	NA	YAL021C	RAS22-WT	-1.20277177656969	0.444609274452782	-2.705233214152	10	0.0221138178551668	0.07220779796401	NA	0.888888888888889	0.444444444444444
YAL021C	YAL021C	NA	NA	YAL021C	SSY5-WT	0.031961360423067	0.314386232943993	0.10166272270822	10	0.921033971782391	0.950351712926353	NA	0.805555555555556	0.638888888888889
YAL021C	YAL021C	NA	NA	YAL021C	RAS21-WT	-0.0946616335067792	0.314386232943993	-0.301099805231111	10	0.769506021921792	0.874836415568121	NA	0.819444444444444	0.652777777777778
YAL021C	YAL021C	NA	NA	YAL021C	IRA2-WT	-0.143117648333601	0.314386232943993	-0.455228738845881	10	0.658668479997153	0.797197961901317	NA	0.819444444444444	0.652777777777778
YAL021C	YAL021C	NA	NA	YAL021C	SIT4-WT	-0.0537383911801565	0.351494494026426	-0.152885442285524	10	0.881529518705891	0.937482457034889	NA	0.833333333333333	0.527777777777778
YAL023C	YAL023C	NA	NA	YAL023C	RAS21-WT	-0.0685899319971435	0.391565244557037	-0.175168590549288	16	0.863144732240964	0.931365793552106	NA	0.558823529411765	0.441176470588235
YAL023C	YAL023C	NA	NA	YAL023C	SAP155-WT	-0.668395835401861	0.391565244557037	-1.70698458224502	16	0.107153803804683	0.190855374941723	NA	0.607843137254902	0.490196078431373
YAL023C	YAL023C	NA	NA	YAL023C	SSY5-WT	0.263808547334924	0.391565244557037	0.673728199838984	16	0.51010057522364	0.663206201421943	NA	0.529411764705882	0.411764705882353
YAL023C	YAL023C	NA	NA	YAL023C	POP1-WT	-1.08969844952116	0.391565244557037	-2.78292944705523	16	0.013301347602924	0.0564459141512111	NA	0.676470588235294	0.558823529411765
YAL023C	YAL023C	NA	NA	YAL023C	RAS22-WT	-1.45875166124783	0.391565244557037	-3.72543702875893	16	0.00184078678946342	0.0113847675574942	NA	0.686274509803922	0.568627450980392
YAL023C	YAL023C	NA	NA	YAL023C	IRA2-WT	-0.647286933134352	0.391565244557037	-1.65307555287907	16	0.117799412087904	0.268626696723818	NA	0.627450980392157	0.509803921568627
YAL023C	YAL023C	NA	NA	YAL023C	SIT4-WT	-0.511929601185682	0.391565244557037	-1.307392850366	16	0.209555772193214	0.390679354189358	NA	0.607843137254902	0.490196078431373
YAL025C	YAL025C	NA	NA	YAL025C	RAS21-WT	-0.665775872472395	0.404804984762665	-1.64468298942202	16	0.119536059020063	0.280892965629933	NA	0.45	0.45
YAL025C	YAL025C	NA	NA	YAL025C	SAP155-WT	-1.66524485923468	0.404804984762665	-4.11369652528119	16	0.000812872584109225	0.00380021863789555	NA	0.566666666666667	0.566666666666667
YAL025C	YAL025C	NA	NA	YAL025C	RAS22-WT	-1.19214209380377	0.404804984762665	-2.94497878899075	16	0.00950935448527646	0.0385128856653696	NA	0.516666666666667	0.516666666666667
YAL025C	YAL025C	NA	NA	YAL025C	IRA2-WT	-0.415414353573107	0.404804984762665	-1.02620859230936	16	0.320058744697961	0.516155543333129	NA	0.433333333333333	0.433333333333333
YAL025C	YAL025C	NA	NA	YAL025C	SIT4-WT	-1.54116159355747	0.404804984762665	-3.8071704933699	16	0.00154911958191462	0.011255017794932	NA	0.55	0.55
YAL025C	YAL025C	NA	NA	YAL025C	POP1-WT	-1.83155753518926	0.404804984762665	-4.52454293828198	16	0.000345560203244055	0.00447608450764565	NA	0.533333333333333	0.533333333333333
YAL025C	YAL025C	NA	NA	YAL025C	SSY5-WT	-0.970179697749948	0.404804984762665	-2.39665946386199	16	0.0291121548061046	0.0963712710822774	NA	0.5	0.5
YAL026C	YAL026C	NA	NA	YAL026C	RAS21-WT	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YAL026C	YAL026C	NA	NA	YAL026C	POP1-WT	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.833333333333333	0
YAL026C	YAL026C	NA	NA	YAL026C	RAS22-WT	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.666666666666667	0
YAL026C	YAL026C	NA	NA	YAL026C	SAP155-WT	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YAL026C	YAL026C	NA	NA	YAL026C	SIT4-WT	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YAL026C	YAL026C	NA	NA	YAL026C	IRA2-WT	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.666666666666667	0
YAL026C	YAL026C	NA	NA	YAL026C	SSY5-WT	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YAL029C	YAL029C	NA	NA	YAL029C	RAS21-WT	-1.85673230713496	0.448259900565126	-4.14208878553304	13	0.00115822251950415	0.0126498042130192	NA	0.833333333333333	0.233333333333333
YAL029C	YAL029C	NA	NA	YAL029C	RAS22-WT	-0.59141486012096	0.409203431940903	-1.44528323556771	13	0.172050554969145	0.318018513742908	NA	0.8	0.3
YAL029C	YAL029C	NA	NA	YAL029C	SAP155-WT	-0.57167877159917	0.409203431940903	-1.39705272970861	13	0.185788897515581	0.293114729304935	NA	0.766666666666667	0.266666666666667
YAL029C	YAL029C	NA	NA	YAL029C	POP1-WT	-0.859670317524057	0.409203431940903	-2.10083848379896	13	0.0557277261579625	0.152241969191301	NA	0.8	0.3
YAL029C	YAL029C	NA	NA	YAL029C	IRA2-WT	-1.09605176649655	0.448259900565125	-2.44512561822894	13	0.0294817377592662	0.106729139662625	NA	0.8	0.2
YAL029C	YAL029C	NA	NA	YAL029C	SIT4-WT	-0.0395341729237828	0.409203431940903	-0.0966125155311314	13	0.924507662788309	0.959610871407369	NA	0.766666666666667	0.266666666666667
YAL029C	YAL029C	NA	NA	YAL029C	SSY5-WT	-0.831633507081679	0.409203431940903	-2.0323229038846	13	0.0630730908319705	0.167479185868722	NA	0.766666666666667	0.266666666666667
YAL032C	YAL032C	NA	NA	YAL032C	RAS22-WT	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.833333333333333	0
YAL032C	YAL032C	NA	NA	YAL032C	RAS21-WT	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.833333333333333	0
YAL032C	YAL032C	NA	NA	YAL032C	IRA2-WT	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.833333333333333	0
YAL032C	YAL032C	NA	NA	YAL032C	SAP155-WT	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.833333333333333	0
YAL032C	YAL032C	NA	NA	YAL032C	SSY5-WT	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.833333333333333	0
YAL032C	YAL032C	NA	NA	YAL032C	POP1-WT	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.833333333333333	0
YAL032C	YAL032C	NA	NA	YAL032C	SIT4-WT	-1.6457099820507	0.60439008928792	-2.72292681699934	1	0.224065050153492	0.407641402299619	NA	0.75	0
YAL034W-A	YAL034W-A	NA	NA	YAL034W-A	RAS21-WT	-0.0590932319926857	0.502521497315478	-0.117593440894306	6	0.910227552659916	0.954693783833699	NA	0.708333333333333	0.458333333333333
YAL034W-A	YAL034W-A	NA	NA	YAL034W-A	RAS22-WT	0.115685596036752	0.561836114076194	0.205906301034011	6	0.843672901473076	0.907712090899742	NA	0.75	0.375
YAL034W-A	YAL034W-A	NA	NA	YAL034W-A	POP1-WT	0.229003783341401	0.710672716887585	0.322235225722933	6	0.758206391965987	0.86181869141655	NA	0.791666666666667	0.291666666666667
YAL034W-A	YAL034W-A	NA	NA	YAL034W-A	SAP155-WT	-0.603319952382694	0.710672716887585	-0.848942048915223	6	0.428478452789823	0.555596792056332	NA	0.833333333333333	0.333333333333333
YAL034W-A	YAL034W-A	NA	NA	YAL034W-A	IRA2-WT	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.875	0.25
YAL034W-A	YAL034W-A	NA	NA	YAL034W-A	SSY5-WT	-0.46507884628774	0.561836114076194	-0.827783822783361	6	0.43946914389671	0.603806859650554	NA	0.791666666666667	0.416666666666667
YAL034W-A	YAL034W-A	NA	NA	YAL034W-A	SIT4-WT	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.875	0.25
YAL035W	YAL035W	NA	NA	YAL035W	RAS21-WT	-0.634150999165892	0.151116604409492	-4.19643494269818	16	0.000683572119152931	0.00876088348628654	NA	0.448717948717949	0.41025641025641
YAL035W	YAL035W	NA	NA	YAL035W	RAS22-WT	-1.15135513016234	0.151116604409492	-7.61898492003185	16	1.03832105002866e-06	4.07378774472181e-05	NA	0.483974358974359	0.445512820512821
