geneSys	gene	log2FC_IRA2	log2FC_RAS21	log2FC_RAS22	log2FC_POP1	log2FC_SIT4	log2FC_SSY5	adj.p_IRA2	adj.p_RAS21	adj.p_RAS22	adj.p_POP1	adj.p_SIT4	adj.p_SSY5	log2FC.i_IRA2	log2FC.i_RAS21	log2FC.i_RAS22	log2FC.i_POP1	log2FC.i_SIT4	log2FC.i_SSY5	adj.p.i_IRA2	adj.p.i_RAS21	adj.p.i_RAS22	adj.p.i_POP1	adj.p.i_SIT4	adj.p.i_SSY5
YKR007W	MEH1	-0.630512600119254	0.441453091938064	-0.545614660881751	-1.01181218222251	0.949800669367056	-Inf	0.42396648770836	0.573960275721369	0.460293381489943	0.227657870743331	0.255854262335407	NA	-0.630512600119254	0.441453091938064	-0.545614660881751	-1.01181218222251	0.949800669367056	-12.4264426899724	0.42396648770836	0.573960275721369	0.460293381489943	0.227657870743331	0.255854262335407	0.0317852
YKR008W	RSC4	0.526675524773154	-0.207762092704134	-0.982893759488731	-0.0662021326181116	-0.546793294094674	0.415651381775748	0.468894221587374	0.804117133978389	0.183457375564323	0.943856519661812	0.508898890944169	0.558701007358857	0.526675524773154	-0.207762092704134	-0.982893759488731	-0.0662021326181116	-0.546793294094674	0.415651381775748	0.468894221587374	0.804117133978389	0.183457375564323	0.943856519661812	0.508898890944169	0.558701007358857
YKR014C	YPT52	-1.18024006324763	-0.0178950003267804	-0.66429025181544	-0.510906555800499	-0.879057430401278	-0.15979766272828	0.0129288195086581	0.975706799860781	0.130914564230527	0.262640807916458	0.0543795514595879	0.755274042881175	-1.18024006324763	-0.0178950003267804	-0.66429025181544	-0.510906555800499	-0.879057430401278	-0.15979766272828	0.0129288195086581	0.975706799860781	0.130914564230527	0.262640807916458	0.0543795514595879	0.755274042881175
YKR016W	MIC60	-1.25367585004279	-1.02289624747556	-0.0579319345035201	-0.725051115236317	0.768914896511619	-0.802801706074562	0.0112898558457719	0.0403485131665605	0.918525549199165	0.120267390658416	0.102243364943754	0.0846275523679613	-1.25367585004279	-1.02289624747556	-0.0579319345035201	-0.725051115236317	0.768914896511619	-0.802801706074562	0.0112898558457719	0.0403485131665605	0.918525549199165	0.120267390658416	0.102243364943754	0.0846275523679613
YKR018C	YKR018C	-0.442007485323221	0.216704554437355	-0.0245081755580388	-0.307045610464707	1.01429405296728	0.757304554315338	0.461914539526737	0.742173901555923	0.972665505581708	0.606536086636635	0.0690700974827411	0.172787831404714	-0.442007485323221	0.216704554437355	-0.0245081755580388	-0.307045610464707	1.01429405296728	0.757304554315338	0.461914539526737	0.742173901555923	0.972665505581708	0.606536086636635	0.0690700974827411	0.172787831404714
YKR020W	VPS51	0.699870990970744	-0.208377052731414	0.296942369652079	0.811525668121675	0.329795821030966	-0.273305322572415	0.293203246441758	0.728224325815255	0.579993949380611	0.133728171969859	0.523503468832499	0.61137894345905	0.699870990970744	-0.208377052731414	0.296942369652079	0.811525668121675	0.329795821030966	-0.273305322572415	0.293203246441758	0.728224325815255	0.579993949380611	0.133728171969859	0.523503468832499	0.61137894345905
YKR023W	YKR023W	-0.85621531041296	-0.425993533481904	-1.08250965018156	-0.62539442246765	-0.590406991587205	NA	0.322287338930472	0.61968799922292	0.193255119398466	0.462816714648299	0.50837055987013	NA	-0.85621531041296	-0.425993533481904	-1.08250965018156	-0.62539442246765	-0.590406991587205	NA	0.322287338930472	0.61968799922292	0.193255119398466	0.462816714648299	0.50837055987013	NA
YKR024C	DBP7	0.321306115654388	0.44946230123896	-0.208145249055857	-0.0783515419879426	0.0114417084130737	1.21433833784891	0.675775485177446	0.498605318184102	0.778806657543468	0.931734398056191	0.994591521606649	0.0572429413102848	0.321306115654388	0.44946230123896	-0.208145249055857	-0.0783515419879426	0.0114417084130737	1.21433833784891	0.675775485177446	0.498605318184102	0.778806657543468	0.931734398056191	0.994591521606649	0.0572429413102848
YKR025W	RPC37	-0.557696462692201	-1.01935390109179	-1.0996918672423	-0.457314115664427	-1.00372536342933	-0.0826230402031195	0.50567679915574	0.205280507205764	0.142802085246531	0.580762443910312	0.197327927792672	0.926902170119537	-0.557696462692201	-1.01935390109179	-1.0996918672423	-0.457314115664427	-1.00372536342933	-0.0826230402031195	0.50567679915574	0.205280507205764	0.142802085246531	0.580762443910312	0.197327927792672	0.926902170119537
YKR026C	GCN3	-0.0295965653294019	-0.171012928378677	-1.19759180293526	-1.03324644083447	-0.513269590472083	0.3147481001415	0.968042075992643	0.771556511144328	0.0137855285627811	0.0354629015325206	0.301693190852832	0.536804753610619	-0.0295965653294019	-0.171012928378677	-1.19759180293526	-1.03324644083447	-0.513269590472083	0.3147481001415	0.968042075992643	0.771556511144328	0.0137855285627811	0.0354629015325206	0.301693190852832	0.536804753610619
