RUN	Protein	LogIntensities	NumMeasuredFeature	MissingPercentage	more50missing	NumImputedFeature	originalRUN	GROUP	GROUP_ORIGINAL	SUBJECT_ORIGINAL	SUBJECT_NESTED	SUBJECT
18	YAL023C	24.4793717157881	6	0.6	TRUE	9	21	6	SIT4	SIT4-3	6.21	21
19	YAL023C	25.2534296298888	8	0.466666666666667	FALSE	7	13	7	SSY5	SSY5-1	7.13	13
20	YAL023C	25.4575278262799	9	0.4	FALSE	6	14	7	SSY5	SSY5-2	7.14	14
21	YAL023C	25.1453255694132	8	0.466666666666667	FALSE	7	15	7	SSY5	SSY5-3	7.15	15
22	YAL023C	24.4846922965938	6	0.6	TRUE	9	1	8	WT	WT-1	8.1	1
23	YAL023C	25.0525751874232	8	0.466666666666667	FALSE	7	2	8	WT	WT-2	8.2	2
24	YAL023C	25.5275898995601	9	0.4	FALSE	6	3	8	WT	WT-3	8.3	3
1	YAL025C	25.444723896878	5	0.5	TRUE	5	4	1	IRA2	IRA2-1	1.4	4
2	YAL025C	25.4959630092865	4	0.6	TRUE	6	5	1	IRA2	IRA2-2	1.5	5
3	YAL025C	25.6908065281803	6	0.4	FALSE	4	6	1	IRA2	IRA2-3	1.6	6
4	YAL025C	23.1951141567996	1	0.9	TRUE	9	16	2	POP1	POP1-1	2.16	16
5	YAL025C	25.1425709490237	5	0.5	TRUE	5	17	2	POP1	POP1-2	2.17	17
6	YAL025C	24.0453787836731	3	0.7	TRUE	7	18	2	POP1	POP1-3	2.18	18
7	YAL025C	25.2438751418317	5	0.5	TRUE	5	7	3	RAS21	RAS21-1	3.7	7
8	YAL025C	24.839338899884	3	0.7	TRUE	7	8	3	RAS21	RAS21-2	3.8	8
9	YAL025C	25.7971948359313	6	0.4	FALSE	4	9	3	RAS21	RAS21-3	3.9	9
10	YAL025C	24.3311758541814	2	0.8	TRUE	8	10	4	RAS22	RAS22-1	4.10	10
11	YAL025C	24.8041017416903	4	0.6	TRUE	6	11	4	RAS22	RAS22-2	4.11	11
12	YAL025C	25.1660326177812	4	0.6	TRUE	6	12	4	RAS22	RAS22-3	4.12	12
13	YAL025C	24.0045694714281	2	0.8	TRUE	8	22	5	SAP155	SAP155-1	5.22	22
14	YAL025C	24.6705392841344	3	0.7	TRUE	7	23	5	SAP155	SAP155-2	5.23	23
15	YAL025C	24.2068931617976	2	0.8	TRUE	8	24	5	SAP155	SAP155-3	5.24	24
16	YAL025C	24.2504754171299	2	0.8	TRUE	8	19	6	SIT4	SIT4-1	6.19	19
17	YAL025C	24.2517568596584	2	0.8	TRUE	8	20	6	SIT4	SIT4-2	6.20	20
18	YAL025C	24.7520194376035	4	0.6	TRUE	6	21	6	SIT4	SIT4-3	6.21	21
19	YAL025C	24.5801045505248	2	0.8	TRUE	8	13	7	SSY5	SSY5-1	7.13	13
20	YAL025C	25.1917924693235	5	0.5	TRUE	5	14	7	SSY5	SSY5-2	7.14	14
21	YAL025C	25.195300381966	4	0.6	TRUE	6	15	7	SSY5	SSY5-3	7.15	15
