Protein	IRA2_IRA2-1	IRA2_IRA2-2	IRA2_IRA2-3	POP1_POP1-1	POP1_POP1-2	POP1_POP1-3	RAS21_RAS21-1	RAS21_RAS21-2	RAS21_RAS21-3	RAS22_RAS22-1	RAS22_RAS22-2	RAS22_RAS22-3	SAP155_SAP155-1	SAP155_SAP155-2	SAP155_SAP155-3	SIT4_SIT4-1	SIT4_SIT4-2	SIT4_SIT4-3	SSY5_SSY5-1	SSY5_SSY5-2	SSY5_SSY5-3	WT_WT-1	WT_WT-2	WT_WT-3
YKR070W	24.5378432207172	NA	NA	23.6547623574567	23.4563923785678	NA	24.7827907189534	22.990745259106	23.550861488933	24.3304532497195	24.6509496787408	24.3998274991319	24.4672504919769	NA	23.7273300116519	24.6764602058602	24.5213188095088	24.3753189387384	NA	23.3809538121714	23.5547322368741	24.7327259353845	24.6962412718473	24.3530044122767
YKR071C	24.3752806030522	24.7491953494704	24.471710551832	23.8673774170376	24.3316147080623	24.45341981285	23.709492445971	23.7804430878029	23.6622558384551	23.6824210467865	23.5233028074333	23.3623425131168	24.4977913898336	23.8951087414673	23.8236919643505	22.9482995585739	23.6542089212516	24.2612889459133	25.6514819995709	25.3778228891392	25.2996359789026	24.428929187366	25.5962701786699	24.9181628239996
YKR072C	NA	23.2834299531404	24.634547111542	NA	NA	24.0539575221372	NA	24.2775782427091	24.5858667448871	24.5745564145891	NA	24.4988321169823	NA	NA	23.478544217589	23.5831809370857	24.0954344847121	24.1344358812742	24.182986682124	24.6697107075967	24.2630411917634	23.2686033117383	25.0553851321395	24.7097477992521
YKR074W	26.9415237761802	26.4678697759204	26.6501823406995	26.3358312949865	26.2433522675857	25.7583147534024	27.4495914679566	27.3306628096389	27.1138582359903	26.9215479268959	27.056036532911	26.6364352079102	26.3084194726293	26.9024062027072	27.0640582991127	26.9272581118187	27.3092774540607	27.3298584799067	26.880003778556	27.0527906996061	26.9896918169465	26.1862445419399	27.4897854791533	27.5596402254981
YKR076W	NA	NA	NA	NA	NA	NA	NA	24.7567492619812	NA	26.9859463959054	27.3599205467368	26.0866447780639	NA	NA	NA	24.6345969237074	24.7186405853458	25.1767089806151	NA	NA	NA	NA	24.7850922927415	NA
YKR079C	NA	NA	25.1380764047255	NA	NA	25.0576875155179	NA	NA	NA	NA	24.865916861979	NA	NA	24.6900489366258	NA	27.1884798298127	25.8324112731976	25.9505408854862	NA	25.5626099405425	NA	NA	NA	NA
YKR080W	24.33909221427	23.6051487050019	24.5938614596693	25.1168601190865	25.1457114055821	25.4307948049157	25.1865179577691	24.3993222119737	25.4331200899632	24.3016595488064	24.6389979787445	24.4679550424081	24.8355030654239	24.9248344637865	25.0261410043094	25.0167509357119	24.8890363631664	25.4665037167024	26.2244978795438	26.7417981367657	26.2098192778102	23.8545222704372	24.3108672502072	24.6630013719421
YKR081C	26.3095735751953	25.3925752867043	25.45592319202	24.0316534320573	24.4468274179885	24.7197887104462	24.4690648116033	23.9502320826039	24.6201591278438	24.1971236733604	24.0576616777109	24.3466745329557	NA	23.7032468857605	23.665138706097	24.6052892449109	24.7427074047321	24.2544324669539	25.7199204888227	25.7197853773593	25.9907772731479	25.2414329687263	25.7114007286223	25.950699083532
YKR082W	24.4445419432129	23.5311010915391	23.3895187529105	NA	NA	NA	23.4360802090075	23.8664277294673	NA	23.3843354938611	NA	NA	NA	NA	23.5223357884427	NA	23.4991730089576	23.6368913494724	24.6897802052209	24.4119446956503	24.1657461783391	NA	24.1240464588741	24.7871229590009
YKR083C	NA	NA	NA	23.6561005294029	NA	26.821312539685	23.429961255812	NA	23.9302823234393	NA	NA	26.9405522838691	NA	22.9988271095468	23.2596378580732	NA	NA	23.3405114430554	NA	26.0928040528838	NA	NA	26.5844080544966	23.7059114563835
YKR084C	24.0689999985395	23.5597862107778	23.9324221090215	23.7635956523781	24.0560859138899	23.241260280056	24.2219037853606	24.1837922332596	24.4123099957786	23.7542502992951	24.083654909123	24.4022595678012	23.631640974067	23.303831159002	23.6876562717344	24.2396778377672	24.4730942503856	24.4867459807032	23.9725954404618	24.4325714246495	23.6056452750068	22.9900177335404	25.0392654621145	25.043434546703
YKR085C	NA	NA	22.3929130767839	25.0288475974157	24.295422885115	23.4221723400635	NA	22.7197288894939	NA	24.4801484463233	24.4865789888494	NA	NA	NA	NA	25.2899590140586	25.9736002012011	25.2327348453287	NA	NA	NA	22.4801704970664	22.9466154307772	22.5650869472764
YKR087C	NA	NA	NA	NA	NA	24.4628767846168	NA	24.9861779662815	25.4301065357429	NA	NA	NA	NA	NA	NA	25.0478774377444	NA	NA	24.8298751844379	25.4983160841522	NA	NA	NA	NA
YKR089C	NA	NA	NA	NA	NA	NA	26.3615031130616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.8903601858589	NA	NA	24.9897190576571	NA
YKR090W	NA	NA	24.2409131288943	NA	NA	NA	NA	NA	NA	NA	NA	24.0979101529545	NA	24.1699859774078	NA	23.9695907509519	24.2435923222247	NA	NA	NA	NA	24.7114010254143	24.162523545545	24.8689682236162
YKR092C	26.303054476895	26.0699810777494	25.7886809485444	26.0523075211701	25.1242272597622	24.7922891465856	25.5953197401881	24.4374781342714	25.2937373178235	24.7604280566249	24.5122393896887	24.4068091810001	25.3878298266601	24.1568643949704	24.4442220371249	25.278308759886	24.7972568010275	24.2912591211456	26.4699110311603	25.7888580355121	26.8300399323494	25.3354121889723	27.1450321393811	26.5636099954231
YKR093W	21.994860763526	NA	24.5863764176293	22.0314437402894	NA	NA	22.7431928510304	NA	22.84686110883	NA	NA	NA	23.6679190557116	NA	NA	NA	NA	23.7136285025834	NA	NA	NA	NA	NA	NA
