Protein	IRA2	POP1	RAS21	RAS22	SAP155	SIT4	SSY5	WT
YOR259C	24.9044572170784	25.2624170830219	25.2627777637067	25.0452487280383	25.0750613443308	26.0244839066938	25.0052963107693	25.7619513118421
YOR260W	24.8432024593262	23.9279493354537	24.4486553582748	23.8502443533182	23.687377082424	25.0932135117733	24.5989965864204	25.3883335506738
YOR261C	26.5378529585417	26.252289276711	26.2050754951137	26.3890775557886	25.7335117054811	26.325726864041	26.3995777073592	26.8914334276313
YOR262W	NA	23.6414728560459	23.7942746930999	23.56590812328	23.8505930137778	24.9351344119515	24.2348425104681	24.1605104981886
YOR265W	25.1697081561154	25.8143945387484	25.770800707219	25.5631410710178	25.5212325820112	25.3249849595538	25.6597183808	25.7511179769661
YOR267C	22.3632148335675	22.5581641542879	23.454398572802	22.0073011823952	23.2396521235492	24.7900301369953	22.5161550704983	23.964227721413
YOR270C	26.6044534665526	26.1342588042242	26.38093633133	25.4675308196857	25.3786048543839	26.0043627791746	27.0743169326901	26.3796850468712
YOR271C	25.9816006564508	25.3492636964412	24.7612989786697	24.7189191677515	24.4016528004787	25.6977727720751	26.7164734247864	25.8541598482565
YOR272W	25.96239277584	24.6838711524569	25.3855753926827	25.1429781655867	24.534435783688	25.2198088420842	25.2096827337172	26.1073000572984
YOR275C	25.7412074383939	26.1812898554936	25.3535002232742	NA	24.9229507922785	25.6833286815503	25.3259746011365	25.6086286135301
YOR276W	26.5587128368758	25.8038979880708	25.819954523649	26.1696916870871	25.1806876193397	26.5516282333989	26.0599035155435	26.4442257826585
YOR278W	24.0955349074453	24.0586856564476	24.1320862647471	23.8002721038091	24.0928450774544	24.4475510625106	24.1471981374665	24.0733450510554
YOR280C	24.4375748070019	24.1399468276703	25.4545790812459	25.2226834684726	24.3687243042733	24.1824489939354	24.8084095603766	25.1908318224746
YOR281C	24.8207915029241	24.8758377518988	25.1988461931078	24.4351500926599	24.5078255958864	24.8529818783906	24.6765403075398	25.9022538236746
YOR283W	24.7034650818797	24.031851005304	24.2078346503239	23.735960899482	24.0925021172752	23.8816641181508	24.0570540466551	25.1549791839581
YOR285W	27.5463434267239	28.4006304822992	28.5638729330376	29.1389578990711	28.9816633203667	28.9639247198491	27.848588478619	28.4512672685609
YOR286W	23.6236558584861	23.6319861299477	23.7853569112062	24.1843895627629	23.4950410441248	24.7713157046238	23.0309058282498	24.0359075505669
YOR288C	24.2944933046399	24.2627702025118	24.5005804639463	24.346876021064	23.7202903978679	NA	NA	24.6112030940193
YOR289W	NA	23.5255103903915	23.9629439989517	25.0807965706009	NA	23.6852444390258	NA	23.4209253856561
